qxdata17,qydata17
14.72,5.0484
14.73,5.04435
14.74,5.0403
14.75,5.03625
14.76,5.0322
14.77,5.02815
14.78,5.0241
14.79,5.02005
14.8,5.016
14.81,5.01195
14.82,5.0079
14.83,5.00385
14.84,4.9998
14.85,4.99575
14.86,4.9917
14.87,4.98765
14.88,4.9836
14.89,4.97955
14.9,4.9755
14.91,4.97145
14.92,4.9674
14.93,4.96335
14.94,4.9593
14.95,4.95525
14.96,4.9512
14.97,4.94715
14.98,4.9431
14.99,4.93905
15,4.935
15.01,4.92625
15.02,4.9175
15.03,4.90875
15.04,4.9
15.05,4.89125
15.06,4.8825
15.07,4.87375
15.08,4.865
15.09,4.85625
15.1,4.8475
15.11,4.83875
15.12,4.83
15.13,4.82125
15.14,4.8125
15.15,4.80375
15.16,4.795
15.17,4.78625
15.18,4.7775
15.19,4.76875
15.2,4.76
15.21,4.75125
15.22,4.7425
15.23,4.73375
15.24,4.725
15.25,4.71625
15.26,4.7075
15.27,4.69875
15.28,4.69
15.29,4.68125
15.3,4.6725
15.31,4.66375
15.32,4.655
15.33,4.64625
15.34,4.6375
15.35,4.62875
15.36,4.62
15.37,4.61125
15.38,4.6025
15.39,4.59375
15.4,4.585
15.41,4.57625
15.42,4.5675
15.43,4.55875
15.44,4.55
15.45,4.54125
15.46,4.5325
15.47,4.52375
15.48,4.515
